Ticker,Company,Aliases
PKG,Packaging Corporation of America,"['PCA', 'Packaging of America']"
PLTR,Palantir Technologies,"['Palantir', 'PLTR', 'Palantir Technologies Inc.', 'Palantir Technologies']"
PANW,Palo Alto Networks,"['Palo Alto Networks, Inc.', 'PAN', 'PANW', 'Palo Alto Software', 'paloaltonetworks.com', 'Palo Alto Networks']"
PARA,Paramount Global,"['Paramount', 'ViacomCBS', 'Paramount Global']"
PH,Parker Hannifin,"['Parker', 'Parker Appliance Company', 'Runwise', 'Parker Hannifin']"
PAYX,Paychex,['Paychex']
PAYC,Paycom,['Paycom']
PYPL,PayPal,"['PayPal Holdings, Inc.', 'Paypal', 'paypal.com', 'PAYPAL, INC. (San Jose, CA)']"
PNR,Pentair,['Pentair']
PEP,PepsiCo,['PepsiCo']
PFE,Pfizer,"['Pfizer PFE, spol. s r.o.', 'Pfizer']"
PCG,PG&E Corporation,"['PCG', 'PG&E']"
PM,Philip Morris International,"['Philip Morris International Inc.', 'Philip Morris', 'PMI', 'Philip Morris International']"
PSX,Phillips 66,"['Phillips 66 Company', 'Phillips 66']"
PNW,Pinnacle West Capital,['Pinnacle West Capital']
PNC,PNC Financial Services,"['PNC', 'PNC Financial Services']"
POOL,Pool Corporation,['Pool']
PPG,PPG Industries,"['PPG Industries (United States)', 'PPG', 'PPG Industries']"
PPL,PPL Corporation,"['Pennsylvania Power and Light', 'PPL']"
PFG,Principal Financial Group,"['Principal', 'Principal Financial']"
PG,Procter & Gamble,"['P&G', 'Procter & Gamble Co.', 'Proctor and Gamble', 'The Procter & Gamble Company (Cincinnati, OH)', 'Procter & Gamble']"
PGR,Progressive Corporation,['Progressive']
PLD,Prologis,"['Prologis Logistics', 'Prologis Real Estate', 'Prologis']"
PRU,Prudential Financial,['Prudential Financial']
PEG,Public Service Enterprise Group,"['Public Service Corporation of New Jersey', 'PSEG', 'Public Service Electric & Gas', 'PSE&G', 'Public Service Enterprise']"
PTC,PTC Inc.,"['PTC, Inc.', 'ptc.com', 'PTC']"
PSA,Public Storage,['Public Storage']
PHM,PulteGroup,"['PulteGroup, Inc', 'Pulte Homes', 'PulteGroup']"
PWR,Quanta Services,['Quanta Services']
QCOM,Qualcomm,"['QCOM (NASDAQ)', 'Qualcomm Incorporated', 'Qualcomm, Inc.', 'QUALCOMM Incorporated (San Diego, CA)', 'QUALity COMMunications', 'Qualcomm']"
DGX,Quest Diagnostics,['Quest Diagnostics']
RL,Ralph Lauren Corporation,"['Polo Ralph Lauren', 'Ralph Lauren']"
RJF,Raymond James Financial,"['Raymond James Financials', 'Raymond James Financial']"
RTX,RTX Corporation,['RTX']
O,Realty Income,['Realty Income']
REG,Regency Centers,['Regency Centers']
REGN,Regeneron Pharmaceuticals,"['Regeneron', 'Regeneron Pharmaceuticals']"
RF,Regions Financial Corporation,['Regions Financial']
RSG,Republic Services,['Republic Services']
RMD,ResMed,"['RMD', 'ResMed']"
RVTY,Revvity,['Revvity']
ROK,Rockwell Automation,['Rockwell Automation']
ROL,"Rollins, Inc.",['Rollins']
ROP,Roper Technologies,"['Roper Industries', 'Roper Technologies']"
ROST,Ross Stores,['Ross Stores']
RCL,Royal Caribbean Group,"['Royal Caribbean Cruises Ltd.', 'Royal Caribbean Cruises', 'RCL', 'RCCL Group', 'RCL Corporate', 'Royal Caribbean']"
SPGI,S&P Global,"['S&P Global Inc.', 'SPGI', 'Seek & Prosper', 'S&P Global']"
CRM,Salesforce,"['Salesforce.com, Inc.', 'SFDC', 'salesforce.com', 'Salesforce']"
SBAC,SBA Communications,"['SBA Communications Corporation', 'SBA Communications']"
SLB,Schlumberger,"['Schlumberger Limited', 'Schlumberger Technology Corporation', 'SCHLUMBERGER TECHNOLOGY CORPORATION (Sugar Land, TX)', 'Schlumberger']"
STX,Seagate Technology,"['Seagate Technology PLC', 'Seagate', 'Shugart Technology', 'Seagate Technology LLC', 'Seagate Technology LLC (Fremont, CA)', 'Seagate Technology Inc.', 'Seagate Technology']"
SRE,Sempra,['Sempra']
NOW,ServiceNow,"['servicenow.com', 'ServiceNow Inc.', 'ServiceNow, Inc.', 'ServiceNow']"
SHW,Sherwin-Williams,"['Sherwin-Williams Company', 'Sherwin Williams', 'Sherwin-Williams']"
SPG,Simon Property Group,"['United Society for the Propagation of the Gospel', 'USPG', 'SPG', 'Society for the Propagation of the Gospel', 'Simon Property']"
SWKS,Skyworks Solutions,['Skyworks Solutions']
SJM,J.M. Smucker Company (The),['JM Smucker Company ()']
SW,Smurfit Westrock,"['Smurfit Kappa', 'Smurfit Westrock']"
SNA,Snap-on,['Snap-on']
SOLV,Solventum,"['Solvay Pharmaceuticals', 'Solventum']"
SO,Southern Company,['Southern Company']
LUV,Southwest Airlines,"['Southwest Airlines Co.', 'Southwest', 'Southwest Airlines']"
SWK,Stanley Black & Decker,"['The Stanley Works', 'Stanley Works', 'Stanley Black & Decker, Inc.', 'Stanley Black & Decker']"
SBUX,Starbucks,"['Starbucks Corporation', 'Starbucks Coffee', 'Starbucks Coffee Company', 'Starbucks']"
STT,State Street Corporation,"['State Street', 'STT']"
STLD,Steel Dynamics,"['SDI', 'Steel Dynamics']"
STE,Steris,['Steris']
SYK,Stryker Corporation,['Stryker']
SMCI,Supermicro,"['SuperMicro', 'Super Micro Computer', 'Super Micro Computer, Inc.']"
SYF,Synchrony Financial,['Synchrony Financial']
SNPS,Synopsys,"['Synopsys, Inc.', 'SNPS', 'SYNOPSYS, INC. (Mountain View, CA)', 'Synopsys']"
SYY,Sysco,"['Sysco Corporation', 'Sysco']"
TMUS,T-Mobile US,"['T-Mobile', 'VoiceStream Wireless', 'T-Mobile USA, Inc.', 'T-Mobile US']"
TROW,T. Rowe Price,"['T. Rowe Price Associates, Inc.', 'T. Rowe Price Group, Inc.', 'T Rowe Price']"
TTWO,Take-Two Interactive,"['Blue Shift, Inc.', 'Visual Concepts Blue Shift', 'Take-Two Interactive Software Vancouver ULC', 'Take-Two Interactive']"
TPR,"Tapestry, Inc.","['Tapestry', 'Coach, Inc.']"
TRGP,Targa Resources,['Targa Resources']
TGT,Target Corporation,['Target']
TEL,TE Connectivity,"['Tyco Electronics', 'AMP Incorporated', 'TE Connectivity']"
TDY,Teledyne Technologies,"['Teledyne Technologies, Inc.', 'Teledyne Benthos', 'RD Instruments', 'Teledyne Technologies']"
TER,Teradyne,['Teradyne']
TSLA,"Tesla, Inc.","['Tesla Inc.', 'Tesla']"
TXN,Texas Instruments,['Texas Instruments']
TPL,Texas Pacific Land Corporation,"['TPL', 'Texas Pacific Land']"
TXT,Textron,"['Avco Lycoming', 'Textron Lycoming', 'Lycoming Engines', 'Demorest Manufacturing Company', 'Demorest Fashion and Sewing-Machine Company', 'Lycoming Foundry and Machine Company', 'Textron']"
TMO,Thermo Fisher Scientific,"['Thermo Fisher', 'ThermoFisher', 'TMO', 'Thermo Fisher Scientific']"
TJX,TJX Companies,['TJX Companies']
TKO,TKO Group Holdings,['TKO Holdings']
TSCO,Tractor Supply,"['TSCO', 'Tractor Supply']"
TT,Trane Technologies,['Trane Technologies']
TDG,TransDigm Group,"['TransDigm Group Incorporated', 'TDG', 'TransDigm Group', 'TransDigm']"
TRV,Travelers Companies (The),['Travelers Companies ()']
TRMB,Trimble Inc.,['Trimble']
TFC,Truist Financial,"['BB&T Corporation', 'BBT', 'Branch Banking and Trust Company', 'Truist Financial']"
TYL,Tyler Technologies,['Tyler Technologies']
TSN,Tyson Foods,"['Tyson Foods, Inc.', 'Tyson Foods']"
USB,U.S. Bancorp,"['U.S. Bank', 'US Bancorp']"
UBER,Uber,"['Uber Technologies, Inc.', 'UberCab', 'Uber Technologies, Inc. (San Francisco, CA)', 'Uber Technology', 'Uber']"
UDR,"UDR, Inc.",['UDR']
ULTA,Ulta Beauty,"['Ulta Beauty Inc.', 'Ulta', 'Ulta Beauty']"
UNP,Union Pacific Corporation,"['Union Pacific and North-Western Line', 'Union Pacific']"
UAL,United Airlines Holdings,"['UCH', 'United Continental', 'UAL Corporation', 'United Continental Holdings', 'United Airlines Holdings']"
UPS,United Parcel Service,"['UPS', 'United Parcel Service Inc.', 'United Parcel Service, Inc, UPS', 'UNITED PARCEL SERVICE OF AMERICA, INC. (Atlanta, GA)', 'Merchants Parcel Delivery', 'American Messenger Company', 'United Parcel Service']"
URI,United Rentals,"['United Rentals, Inc', 'United Rentals']"
UNH,UnitedHealth Group,"['UnitedHealth Group Inc.', 'UnitedHealth']"
UHS,Universal Health Services,['Universal Health Services']
VLO,Valero Energy,['Valero Energy']
VTR,Ventas,['Ventas']
VLTO,Veralto,['Veralto']
VRSN,Verisign,"['VeriSign', 'VeriSign,Inc.', 'Verisign, Inc.', 'VRSN']"
